url_id,total_meters,floor,floors_count,district,price
301165914,49.0,7,24,Хорошево-Мневники,23000000
294230460,23.1,2,3,Головинский,5699999
300441246,38.64,22,30,Головинский,18400000
300499412,41.5,13,21,Хорошево-Мневники,15375000
300797878,34.83,3,5,Котловка,10500000
300843943,36.2,6,33,Нижегородский,12400000
296195090,34.0,16,17,Бирюлево Восточное,8987654
300594074,35.0,3,12,Западное Дегунино,10100000
300246632,47.0,18,22,Ивановское,12500000
297661462,36.0,23,25,Фили-Давыдково,17600000
300914311,45.8,4,5,,4400000
294476646,31.0,3,5,Пресненский,19800000
299095001,18.8,1,5,Таганский,5760000
300992097,33.0,6,9,Таганский,15600000
299563667,38.4,15,17,Войковский,17900000
299732160,39.7,8,9,Перово,10850000
300617206,30.5,2,5,Тимирязевский,10500000
300529475,41.4,13,14,Северное Бутово,11500000
296989997,37.0,2,22,Западное Дегунино,17500000
298296311,37.1,13,17,Митино,10600000
298743351,30.0,5,5,Войковский,10500000
300023160,54.3,2,18,Измайлово,26999000
301293129,32.5,5,9,Кунцево,10000000
295529312,27.0,4,5,Тверской,24700000
300069031,51.0,18,32,Хорошевский,26000000
301265036,46.0,4,25,Покровское-Стрешнево,21800000
299093726,39.9,4,4,Южное Тушино,11800000
301060517,30.0,6,14,,7000000
299026219,32.9,7,12,Ховрино,9200000
300667031,47.4,19,25,Солнцево,15800000
300225205,35.0,7,9,Замоскворечье,19500000
301277267,49.2,18,23,Тропарево-Никулино,23990000
297130698,36.0,4,5,Марфино,10500000
301234269,32.6,2,9,Чертаново Южное,8990000
296063154,47.6,2,14,Преображенское,21000000
298295575,32.0,7,8,Рязанский,9500000
299962573,34.0,4,5,Алексеевский,11200000
295315041,39.0,6,25,Обручевский,18700000
301038952,31.0,3,16,,10111111
301226797,47.1,2,10,,9700000
300150280,35.2,14,33,Дмитровский,12300000
300531835,45.0,32,46,Хорошево-Мневники,29000000
297731581,34.7,6,16,Восточное Измайлово,9300000
298751825,37.0,5,12,Лефортово,22900000
301184666,45.0,12,22,Тропарево-Никулино,22500000
301228005,32.9,5,9,Ростокино,9600000
299989219,33.8,17,17,Дмитровский,15000000
300892101,37.9,3,17,,11000000
299920319,30.0,2,5,Южное Тушино,9100000
300444378,40.0,14,14,Бутырский,13500000
300873947,35.0,6,7,Таганский,15000000
301277944,32.0,5,9,Черемушки,10900000
278577291,49.5,32,44,Пресненский,28000000
299599495,31.05,2,12,Чертаново Южное,10400000
299958156,34.1,7,13,,10700000
301009650,37.6,18,32,Нижегородский,14850000
300941020,46.3,2,28,Даниловский,18400000
300028690,33.1,4,12,,7500000
297846883,31.5,8,9,Бескудниковский,9300000
300961705,42.1,2,6,Пресненский,22490000
298901375,38.2,12,16,Южное Бутово,7990000
299655895,32.0,2,37,Хорошево-Мневники,18000000
300832689,37.9,11,17,Некрасовка,10400000
299515574,32.5,4,9,Ясенево,8999000
299032300,34.0,1,5,Фили-Давыдково,11100000
301019177,36.0,31,34,Хорошево-Мневники,22000000
301269488,14.0,5,5,Хорошево-Мневники,8500000
300780545,32.0,8,9,Кузьминки,12000000
300573295,44.3,14,27,Щукино,18900000
301269844,31.1,3,5,Даниловский,10950000
300551345,38.8,18,20,Рязанский,15500000
297728662,38.0,1,17,Хорошевский,14300000
300442109,37.7,11,17,,8500000
300100659,37.7,18,18,,13700000
294873379,35.0,1,9,,7450000
300008616,22.0,4,5,Аэропорт,6600000
300269721,45.7,16,42,Котловка,19100000
300992263,44.0,24,24,Северное Бутово,13500000
300504742,33.7,10,19,Крюково,8600000
299343727,38.7,7,9,Кузьминки,12300000
299085185,41.1,21,33,Отрадное,13700000
300616358,38.2,2,9,Раменки,13500000
298526069,34.0,6,36,Хорошево-Мневники,21000000
300964814,35.0,1,4,Соколиная гора,8700000
296077364,43.1,3,25,,10400000
298213552,37.3,2,17,Дмитровский,10600000
299651299,30.8,2,10,,6200000
298254403,42.9,4,33,Останкинский,23900000
301065726,38.0,9,17,Можайский,21600000
296521470,32.6,4,9,Орехово-Борисово Южное,8700000
299426713,37.8,11,17,Солнцево,11300000
297590857,42.6,2,3,,10500000
298146793,38.7,8,12,Митино,10500000
299207021,47.2,2,31,Раменки,27379000
288873310,42.0,8,23,Южное Бутово,12300000
300507836,43.5,2,3,,9200000
298677787,34.0,4,24,Красносельский,25800000
300419481,35.2,2,12,Коптево,11599000
296314144,33.2,8,9,Чертаново Северное,9500000
301045101,33.5,19,32,Нижегородский,15000000
296147935,55.0,20,22,Зюзино,26900000
295105993,38.0,6,16,Восточное Дегунино,10990000
300435168,30.0,3,5,Преображенское,11700000
299063844,45.2,3,30,Южнопортовый,15700000
301036488,33.9,9,9,Можайский,12700000
300206672,35.4,9,19,Солнцево,16800000
300520887,30.0,6,9,Люблино,9499000
300658108,31.7,19,33,Хорошево-Мневники,17190000
295466321,48.7,2,8,Раменки,22700000
300778498,39.2,8,12,Бибирево,10200000
297788340,43.0,6,11,Останкинский,25000000
298883263,39.9,8,25,,12350000
300500947,38.2,3,17,,8000000
299923856,42.7,9,14,,10500000
300377102,38.7,4,9,Перово,10850000
299239430,40.2,3,14,Савёлки,8250000
295987840,39.0,4,16,Лефортово,12900000
286542367,42.0,13,42,Хорошевский,27500000
300500250,37.0,1,19,,10800000
300611928,34.6,5,12,Фили-Давыдково,13590000
295351501,33.0,3,10,,8400000
300836554,36.9,6,17,,9700000
294163998,38.8,12,14,Южнопортовый,14050000
290548792,47.0,2,7,,7400000
295041726,43.1,1,9,,6450000
287360850,56.0,26,31,Южное Бутово,17000000
295022763,43.7,7,15,,10300000
298369793,42.0,23,25,,10000000
299341005,38.0,1,17,Митино,11400000
300421016,38.7,19,19,,8999999
300072032,35.0,11,12,Рязанский,9100000
301120641,40.1,7,14,Даниловский,20000000
298337933,42.2,13,17,Крюково,12000000
296082953,32.8,15,36,Хорошево-Мневники,22960000
300698958,40.3,11,15,Раменки,23300000
301175732,42.3,9,22,Даниловский,23500000
